date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedUSD,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-12-26,1634,23617,622160244.293515,0.00578926841726576,0.00003601972937080553247155820181,9.33271532117458E-7,30.2873695400887,1419.92744549,403.066299775107,0.00000690398305084746,0.00622181021411639,-2.65788879055693,-10.6816398527447,99996660599.181138,840855,10736,70423781.804202,438163.404946088,6569.50277609929,40.8741994740006,400,2.48872408564656,70530181.804202,438825.40555287,0.0415072492605202,0.0251117696959552,0.0216687420434935
2016-12-27,1939,23221,609549334.883813,0.00825625351756181,0.00005032762327911254461307873369,9.14354613240637E-7,51.2996509951253,852.70293285,400.919314692231,0.00000658878141437756,0.00609569742160425,-3.11685208033976,-11.8296607659028,99996652183.46634,1019314,12098,117270210.212257,714843.718021843,9699.32221956166,59.1241334450908,348.886,2.12670349063382,117342400.212257,715283.766418709,0.0414438026195322,0.0250244825406805,0.0215584604087123
2016-12-28,1893,23479,624167913.480671,0.01120253515634,0.000069924979065337508304117552,9.3628332457092E-7,72.8679815842392,993.94750902,415.825804974871,0.00000637552396259497,0.0062418888304728,1.99340053980806,-7.54235230276992,99996640509.438884,1042088,4113,100605554.722101,627968.688303402,24473.6899397279,152.762051875242,1.066,0.00665385349328401,100660286.722101,628310.319362872,0.0413961891364735,0.02551006099809,0.0208199744883076
2016-12-29,1896,23548,644689701.983496,0.00695078481559683,0.00004481250235455793762708558862,9.6706710558792E-7,42.723029807272,1415.98874384,436.31960721733,0.00000662817036820573,0.0064471140372528,4.20851130482548,-3.74240877117015,99996633882.748312,953373,2827,70619653.099631,455292.956804554,25687.9087688826,165.612877211532,0.000001,6.4471140372528E-9,72619718.089631,468187.603877001,0.0414676569511759,0.0262956628280226,0.0213559453817039
2016-12-30,1717,23523,642366723.766515,0.00649548655874304,0.00004172625132557293825331224696,9.63582580339774E-7,39.5803536724014,1020.29687655,440.933000101679,0.00000668066686148451,0.00642388386893183,7.80451163776347,-4.48126112018563,99996627721.311636,948572,3079,98007383.948279,629588.052781558,32008.1143060341,205.616409165459,0.000001,6.42388386893183E-9,98552983.948279,633092.923820447,0.0414524315116256,0.0262589083284282,0.021349530586354
2016-12-31,1393,23991,652657859.105143,0.00552744489473229,0.00003607652163497834521671800019,0.00000109650222663503,27.5163567344739,3016.4524107,449.668993702899,0.00000672962185856224,0.00652679896806563,10.0537074566903,-2.06845570976387,99996623505.407811,762722,2628,33150406.467732,216366.038724549,12614.3099192283,82.3310649636794,0.000001,6.52679896806563E-9,33150406.467732,216366.038724549,0.0414503495587153,0.0263958694702785,0.0213365431298541
2017-01-01,1279,23679,630509602.725425,0.00598849310040823,0.00003775930088510894915642726866,9.45796386135978E-7,31.5226726765173,2467.13223705,438.215372102,0.00000632553886616014,0.00630530924090652,2.88223325429043,-4.47502620972592,99996618506.022139,834832,2604,40531519.553078,255563.764786006,15565.1419174647,98.1430331682114,0.000001,6.30530924090652E-9,40531629.553078,255564.458370023,0.0415227849150385,0.0271026414475323,0.0216796475726845
2017-01-02,1633,23567,626152921.191468,0.00708489278004901,0.00004436376610444319312366423606,9.39261202993173E-7,40.0966372616873,2407.60543291,438.334623939485,0.00000616492752776154,0.00626174135328782,5.41326006394992,-4.21827061204544,99996612102.589771,903815,2908,41533637.836061,260072.897590543,14282.543960131,89.4335961453036,0.000001,6.26174135328782E-9,41533637.836061,260072.897590543,0.0415230951688993,0.026963646392693,0.0216302034675599
2017-01-03,1913,23701,640952975.834316,0.00751316564027499,0.0000481574933075993082315991587,0.00000105760830736364,40.3348864096995,26.64068672,383.066723836729,0.00000622078667445938,0.00640974731735539,7.27175481549471,-0.301083750618376,99996605809.847731,837562,3230,3753529586.50587,24059176.1977201,1162123.94040429,7448.9208094409,0.000001,6.40974731735539E-9,3753660327.505868,24060014.2144941,0.04152178727979,0.027296225370178,0.0218940910770634
2017-01-04,1984,23715,643896820.876617,0.0172826814573282,0.000111286434242471771132039535,9.65878193009952E-7,118.635011354805,1147.53115053,386.788037913435,0.00000571096376388077,0.00643918795339968,6.43110863185959,0.958937094921896,99996587385.938969,1066033,9826,87140629.986189,561114.894858727,8878.54976452157,57.1706506873669,200,1.28783759067994,87240629.986189,561758.813654067,0.0415115686013807,0.0253966079141046,0.0218807664303394
2017-01-05,2436,23355,619347160.425583,0.0289327311643791,0.0001792002240986576532946353177,9.29052755582658E-7,206.639541612868,475.00659811,371.889633268312,0.00000618635154880187,0.00619368503721772,4.37515646136824,-7.86098391072749,99996554022.999076,1153121,28614,210516136.87168,1303870.647035,7358.77056237087,45.5779071244747,300,1.85810551116532,210563860.87168,1304166.23445972,0.041610747528413,0.0235514004044653,0.0221971807849185
2017-01-06,2502,23593,630908354.46893,0.0233644952769502,0.0001474136721172062163287683237,9.46395398465772E-7,169.463072124137,368.46533947,376.260353613372,0.00000707656925774401,0.00630930265643848,5.59961086950536,-11.4756798868295,99996527163.759418,1149575,16673,271386522.563447,1712259.70773116,16281.61228114,102.725619616498,200,1.2618605312877,271463321.563447,1712744.25586587,0.041543533170266,0.023235391358513,0.0223863111382939
2017-01-07,2406,23598,641178648.916906,0.0148826667207718,0.00009542781032922334913984012261,9.61801525085901E-7,99.94574458145,1186.98123344,384.788878058194,0.00000709343834015196,0.00641201016723934,9.247156735946,-6.90332469201687,99996511576.487724,1047344,9994,84244391.368144,540175.893985429,8454.44180189554,54.2099667920875,400,2.56480406689574,84493691.368144,541774.408120122,0.0415477789872247,0.023505331946502,0.022538947644723
2017-01-08,1831,23845,628296247.799023,0.00868587863759663,0.00005457495825842136053682373312,0.00000188495466729853,56.2332183651035,1978.79321051,388.185184381343,0.00000685852746931619,0.00628318222432845,4.97493519345618,-8.42885397791311,99996502626.688664,1030385,8919,50534084.155597,317514.859289165,5684.35297181265,35.7158255493018,300,1.88495466729853,50698744.155597,318549.448074223,0.0415705847176024,0.0234371130249467,0.0226319302826682
