date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedUSD,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-03-04,3270,3723,7656895,2056.64652162235,812942774.256476,,0.0606483033311279,0,1130.60567069896,0,0,0,0,5.56434134,13.5943841394406,0.00219823470718339,8.12942774256476,-93.1486720382315,13.9947974104831,100000000,18642,6377,17971579,146098652.900294,3120.90936176886,25371.2071475938,42,341.43596518772,19902039,161792187.980206,0.054554887720881,0.0470984419330369,0.0489194199670952
2019-03-05,3268,4144,7969875,1923.23238416988,868527834.798626,,0.00111016890814817,0,21.4529039810549,0,0,0,0,20.10000961,14.4679717793427,0.00226171581701166,8.68527834798626,-92.245805340375,25.5545716265961,100000000,19324,5839,4975122,43210319.3851901,1289.506764857,11199.7251843943,39,338.725855571464,7529430,65395195.3516782,0.0547460109813577,0.0484242294140285,0.0495527321031188
2019-03-06,2983,4430,9165091,2068.86930022573,867837911.464228,,0.000951025368253941,0,21.5150469060081,0,0,0,0,22.2205779,14.4556249487172,0.00225295500050885,8.67837911464228,-91.6677435358199,24.6098173696692,100000000,22623,5383,4500333,39055595.9161354,1155.57310050158,10028.5014608353,30,260.351373439268,6220450,53983423.3636766,0.0544218419564604,0.0483743483916059,0.0477091562576447
2019-03-07,3089,5084,8835839,1737.96990558615,914117159.488346,,0.000808585504395553,0,15.9129627265041,0,0,0,0,33.58292161,15.326777055228,0.0023706830234535,9.14117159488346,-90.817510845876,32.1363697358697,100000000,19680,5733,2977704,27219703.2227709,759.367695796267,6941.51041088494,30,274.235147846504,4353455,39795679.1856034,0.0545357645658072,0.048742209092752,0.0480920417345303
2019-03-08,3408,3343,6715469,2008.81513610529,870281922.488205,,0.00149272809629,0,25.8197178815279,0,0,0,0,40.81629321,14.6679038902086,0.00226681161877325,8.70281922488205,-90.4129984626876,28.3314051743013,100000000,17297,5955,2450002,21321924.5065995,789.771452560873,6873.23818060979,35,304.598672870872,4703089,40930133.3655313,0.0546375134349,0.0499774516458729,0.0475124277897573
2019-03-09,3323,1881,5439925,2892.03880914407,889457481.221244,,0.0014401074810182,0,21.0860537370678,0,0,0,0,74.32562502,15.0844589190854,0.00227461721138563,8.89457481221244,-90.4040705838152,29.9677691770799,100000000,14642,5632,1345431,11967036.6841698,495.751065340909,4409.49493890873,30,266.837244366373,2792070,24834275.495934,0.054585359123792,0.047923754061478,0.0476001410933416
2019-03-10,3241,2671,5669043,2122.44215649569,875021288.435025,,0.000755834301753075,0,11.4267029739032,0,0,0,0,57.11978075,14.8804029662827,0.00224139606486764,8.75021288435025,-89.6997153055451,17.5976620086815,100000000,15118,5363,1750707,15319058.9481222,566.955808316241,4960.98401878598,31,271.256599414858,3040584,26605757.2927492,0.0545933950973754,0.0480628865647959,0.0432770466121209
2019-03-11,3108,4886,7733991,1582.8880474826,867136999.575259,,0.00107140071949472,0,19.413781037244,0,0,0,0,65.39482452,14.815140571659,0.00225138642773216,8.67136999575259,-90.381896100819,14.6881190865226,100000000,18120,5343,1529173,13260024.870515,721.575706531911,6257.04993128479,34,294.826579855588,3855379,33431417.7828546,0.0545030326946175,0.0476535469682973,0.0432914908985646
2019-03-12,3157,3096,6267889,2024.51195090439,876782678.082768,,0.0791257019421403,0,1277.64270925976,0,0,0,0,56.85067715,14.9833938097225,0.00227209647820696,8.76782678082768,-89.7107075764048,11.4317203690371,100000000,16147,5524,1758994,15422554.7005152,704.451484431571,6176.50859099294,30,263.03480342483,3891390,34119033.456645,0.0544967357877437,0.0475412142095868,0.0432044968411568
2019-03-13,3685,4971,8929956,1796.41038020519,887000667.583549,,0.00120829244587663,0,24.9246565735427,0,0,0,0,58.81757846,15.3768437609243,0.00230272705584657,8.87000667583549,-89.3178731838775,10.2572575418478,100000000,20628,6274,1700172,15080536.9900686,521.845074912337,4628.7692982243,37,328.190247005913,3274056,29040898.5770592,0.0544854488301125,0.0475658727563952,0.0418844266708566
